"id","code","name","type","tax_domain"
"cst_pis_51","51","Operação com direito a crédito - vinculada exclusivamente a receita não tributada no mercado interno","in","pis"
"cst_pis_52","52","Operação com direito a crédito - vinculada exclusivamente a receita de exportação","in","pis"
"cst_pis_53","53","Operação com direito a crédito - vinculada a receitas tributadas e não-tributadas no mercado interno","in","pis"
"cst_pis_54","54","Operação com direito a crédito - vinculada a receitas tributadas no mercado interno e de exportação","in","pis"
"cst_pis_55","55","Operação com direito a crédito - vinculada a receitas não-tributadas no mercado interno e de exportação","in","pis"
"cst_pis_56","56","Operação com direito a crédito - vinculada a receitas tributadas e não-tributadas no mercado interno, e de exportação","in","pis"
"cst_pis_60","60","Crédito presumido - operação de aquisição vinculada exclusivamente a receita tributada no mercado interno","in","pis"
"cst_pis_61","61","Crédito presumido - operação de aquisição vinculada exclusivamente a receita não-tributada no mercado interno","in","pis"
"cst_pis_62","62","Crédito presumido - operação de aquisição vinculada exclusivamente a receita de exportação","in","pis"
"cst_pis_63","63","Crédito presumido - operação de aquisição vinculada a receitas tributadas e não-tributadas no mercado interno","in","pis"
"cst_pis_64","64","Crédito presumido - operação de aquisição vinculada a receitas tributadas no mercado interno e de exportação","in","pis"
"cst_pis_65","65","Crédito presumido - operação de aquisição vinculada a receitas não-tributadas no mercado interno e de exportação","in","pis"
"cst_pis_66","66","Crédito presumido - operação de aquisição vinculada a receitas tributadas e não-tributadas no mercado interno, e de exportação","in","pis"
"cst_pis_67","67","Crédito presumido - outras operações","in","pis"
"cst_pis_70","70","Operação de aquisição sem direito a crédito","in","pis"
"cst_pis_71","71","Operação de aquisição com isenção","in","pis"
"cst_pis_72","72","Operação de aquisição com suspensão","in","pis"
"cst_pis_73","73","Operação de aquisição a alíquota zero","in","pis"
"cst_pis_74","74","Operação de aquisição sem incidência da contribuição","in","pis"
"cst_pis_75","75","Operação de aquisição por ST","in","pis"
"cst_pis_98","98","Outras operações de entrada","in","pis"
"cst_pis_99","99","Outras operações","out","pis"
"cst_cofins_01","01","Tributável - BC = valor da operação (alíquota normal - cumulativo/não cumulativo)","out","cofins"
"cst_cofins_02","02","Tributável - BC = valor da operação (alíquota diferenciada)","out","cofins"
"cst_cofins_03","03","Tributável - BC = quantidade vendida × alíquota por unidade de produto","out","cofins"
"cst_cofins_04","04","Tributável - tributação monofásica (alíquota zero)","out","cofins"
"cst_cofins_05","05","Tributável - ST","out","cofins"
"cst_cofins_06","06","Tributável - alíquota zero","out","cofins"
"cst_cofins_07","07","Isenta","out","cofins"
"cst_cofins_08","08","Sem incidência","out","cofins"
"cst_cofins_09","09","Com suspensão","out","cofins"
"cst_cofins_49","49","Outras operações de saída","out","cofins"
"cst_cofins_50","50","Operação com direito a crédito - vinculada exclusivamente a receita tributada no mercado interno","in","cofins"
"cst_cofins_51","51","Operação com direito a crédito - vinculada exclusivamente a receita não tributada no mercado interno","in","cofins"
"cst_cofins_52","52","Operação com direito a crédito - vinculada exclusivamente a receita de exportação","in","cofins"
"cst_cofins_53","53","Operação com direito a crédito - vinculada a receitas tributadas e não-tributadas no mercado interno","in","cofins"
"cst_cofins_54","54","Operação com direito a crédito - vinculada a receitas tributadas no mercado interno e de exportação","in","cofins"
"cst_cofins_55","55","Operação com direito a crédito - vinculada a receitas não-tributadas no mercado interno e de exportação","in","cofins"
"cst_cofins_56","56","Operação com direito a crédito - vinculada a receitas tributadas e não-tributadas no mercado interno, e de exportação","in","cofins"
"cst_cofins_60","60","Crédito presumido - operação de aquisição vinculada exclusivamente a receita tributada no mercado interno","in","cofins"
"cst_cofins_61","61","Crédito presumido - operação de aquisição vinculada exclusivamente a receita não-tributada no mercado interno","in","cofins"
"cst_cofins_62","62","Crédito presumido - operação de aquisição vinculada exclusivamente a receita de exportação","in","cofins"
"cst_cofins_63","63","Crédito presumido - operação de aquisição vinculada a receitas tributadas e não-tributadas no mercado interno","in","cofins"
"cst_cofins_64","64","Crédito presumido - operação de aquisição vinculada a receitas tributadas no mercado interno e de exportação","in","cofins"
"cst_cofins_65","65","Crédito presumido - operação de aquisição vinculada a receitas não-tributadas no mercado interno e de exportação","in","cofins"
"cst_cofins_66","66","Crédito presumido - operação de aquisição vinculada a receitas tributadas e não-tributadas no mercado interno, e de exportação","in","cofins"
"cst_cofins_67","67","Crédito presumido - outras operações","in","cofins"
"cst_cofins_70","70","Operação de aquisição sem direito a crédito","in","cofins"
"cst_cofins_71","71","Operação de aquisição com isenção","in","cofins"
"cst_cofins_72","72","Operação de aquisição com suspensão","in","cofins"
"cst_cofins_73","73","Operação de aquisição a alíquota zero","in","cofins"
"cst_cofins_74","74","Operação de aquisição sem incidência da contribuição","in","cofins"
"cst_cofins_75","75","Operação de aquisição por ST","in","cofins"
"cst_cofins_98","98","Outras operações de entrada","in","cofins"
"cst_cofins_99","99","Outras operações","out","cofins"
