"id","code","name","note","group_id:id","user_type_id:id","reconcile","chart_template_id:id"
"account_template_13402","1.3.4.02","(-) Amortização Acumulada",,"account_group_134","l10n_br_coa.data_account_type_fixed_assets_amortization","0","l10n_br_coa_simple_chart_template"
"account_template_21101","2.1.1.01","Fornecedor",,"account_group_211","l10n_br_coa.data_account_type_provider_payable","1","l10n_br_coa_simple_chart_template"
"account_template_21201","2.1.2.01","Empréstimos Bancários",,"account_group_212","l10n_br_coa.data_account_type_current_financial_liabilities","0","l10n_br_coa_simple_chart_template"
"account_template_21202","2.1.2.02","Financiamentos",,"account_group_212","l10n_br_coa.data_account_type_current_financial_liabilities","0","l10n_br_coa_simple_chart_template"
"account_template_21301","2.1.3.01","Simples Nacional",,"account_group_213","l10n_br_coa.data_account_type_current_fiscal_liabilities","0","l10n_br_coa_simple_chart_template"
"account_template_21302","2.1.3.02","ICMS a Recolher",,"account_group_213","l10n_br_coa.data_account_type_current_fiscal_liabilities","0","l10n_br_coa_simple_chart_template"
"account_template_21303","2.1.3.03","ISSQN a Recolher",,"account_group_213","l10n_br_coa.data_account_type_current_fiscal_liabilities","0","l10n_br_coa_simple_chart_template"
"account_template_21304","2.1.3.04","IPI a Recolher",,"account_group_213","l10n_br_coa.data_account_type_current_fiscal_liabilities","0","l10n_br_coa_simple_chart_template"
"account_template_21305","2.1.3.05","PIS A RECUPERAR",,"account_group_213","l10n_br_coa.data_account_type_current_fiscal_liabilities","0","l10n_br_coa_simple_chart_template"
"account_template_21306","2.1.3.06","COFINS A RECUPERAR",,"account_group_213","l10n_br_coa.data_account_type_current_fiscal_liabilities","0","l10n_br_coa_simple_chart_template"
"account_template_21401","2.1.4.01","Salários a Pagar",,"account_group_214","l10n_br_coa.data_account_type_current_labor_liabilities","0","l10n_br_coa_simple_chart_template"
"account_template_21402","2.1.4.02","FGTS a Recolher",,"account_group_214","l10n_br_coa.data_account_type_current_labor_liabilities","0","l10n_br_coa_simple_chart_template"
"account_template_21403","2.1.4.03","INSS dos Segurados a Recolher",,"account_group_214","l10n_br_coa.data_account_type_current_labor_liabilities","0","l10n_br_coa_simple_chart_template"
"account_template_21501","2.1.5.01","Telefone a Pagar",,"account_group_215","l10n_br_coa.data_account_type_current_hired_liabilities","0","l10n_br_coa_simple_chart_template"
"account_template_21502","2.1.5.02","Energia a Pagar",,"account_group_215","l10n_br_coa.data_account_type_current_hired_liabilities","0","l10n_br_coa_simple_chart_template"
"account_template_21503","2.1.5.03","Aluguel a Pagar",,"account_group_215","l10n_br_coa.data_account_type_current_hired_liabilities","0","l10n_br_coa_simple_chart_template"
"account_template_21601","2.1.6.01","Provisão de Férias",,"account_group_216","l10n_br_coa.data_account_type_current_leave_liabilities","0","l10n_br_coa_simple_chart_template"
"account_template_21602","2.1.6.02","Provisão de 13º Salário",,"account_group_216","l10n_br_coa.data_account_type_current_leave_liabilities","0","l10n_br_coa_simple_chart_template"
"account_template_21603","2.1.6.03","Provisão de Encargos Sociais sobre Férias e 13º Salário",,"account_group_216","l10n_br_coa.data_account_type_current_leave_liabilities","0","l10n_br_coa_simple_chart_template"
"account_template_22101","2.2.1.01","Financiamentos Banco A",,"account_group_221","l10n_br_coa.data_account_type_current_bank_loan_liabilities","0","l10n_br_coa_simple_chart_template"
"account_template_22201","2.2.2.01","Empréstimos de Sócios",,"account_group_222","l10n_br_coa.data_account_type_current_loan_liabilities","0","l10n_br_coa_simple_chart_template"
"account_template_23101","2.3.1.01","Capital Subscrito",,"account_group_231","account.data_account_type_equity","0","l10n_br_coa_simple_chart_template"
"account_template_23102","2.3.1.02","(-) Capital a Integralizar",,"account_group_231","account.data_account_type_equity","0","l10n_br_coa_simple_chart_template"
"account_template_23201","2.3.2.01","Reservas de Capital",,"account_group_232","l10n_br_coa.data_account_type_equity_capital_reserve","0","l10n_br_coa_simple_chart_template"
"account_template_23202","2.3.2.02","Reservas de Lucros",,"account_group_232","l10n_br_coa.data_account_type_equity_income_reserve","0","l10n_br_coa_simple_chart_template"
"account_template_23301","2.3.3.01","Lucros Acumulados",,"account_group_233","l10n_br_coa.data_account_type_equity_accumulated_profits","0","l10n_br_coa_simple_chart_template"
"account_template_23302","2.3.3.02","(-) Prejuízos Acumulados",,"account_group_233","l10n_br_coa.data_account_type_equity_accumulated_losses","0","l10n_br_coa_simple_chart_template"
"account_template_31101","3.1.1.01","Venda de Produtos",,"account_group_311","account.data_account_type_revenue","0","l10n_br_coa_simple_chart_template"
"account_template_31102","3.1.1.02","Venda de Mercadorias",,"account_group_311","account.data_account_type_revenue","0","l10n_br_coa_simple_chart_template"
"account_template_31103","3.1.1.03","Venda de Serviços",,"account_group_311","account.data_account_type_revenue","0","l10n_br_coa_simple_chart_template"
"account_template_31104","3.1.1.04","(-) Deduções de Tributos, Abatimentos e Devoluções",,"account_group_311","l10n_br_coa.data_account_type_revenue_deduction","0","l10n_br_coa_simple_chart_template"
"account_template_31201","3.1.2.01","Receitas de Aplicações Financeiras",,"account_group_312","l10n_br_coa.data_account_type_revenue_financial","0","l10n_br_coa_simple_chart_template"
"account_template_31202","3.1.2.02","Juros Ativos",,"account_group_312","l10n_br_coa.data_account_type_revenue_financial","0","l10n_br_coa_simple_chart_template"
"account_template_31301","3.1.3.01","Receitas de Venda de Imobilizado",,"account_group_313","account.data_account_type_revenue","0","l10n_br_coa_simple_chart_template"
"account_template_31302","3.1.3.02","Receitas de Venda de Investimentos",,"account_group_313","account.data_account_type_revenue","0","l10n_br_coa_simple_chart_template"
"account_template_31303","3.1.3.03","Outras Receitas",,"account_group_313","account.data_account_type_revenue","0","l10n_br_coa_simple_chart_template"
"account_template_32101","3.2.1.01","Custos dos Insumos",,"account_group_321","account.data_account_type_direct_costs","0","l10n_br_coa_simple_chart_template"
"account_template_32102","3.2.1.02","Custos da Mão de Obra",,"account_group_321","account.data_account_type_direct_costs","0","l10n_br_coa_simple_chart_template"
"account_template_32103","3.2.1.03","Outros Custos",,"account_group_321","account.data_account_type_direct_costs","0","l10n_br_coa_simple_chart_template"
"account_template_32201","3.2.2.01","Despesas Administrativas",,"account_group_322","l10n_br_coa.data_account_type_admin_expenses","0","l10n_br_coa_simple_chart_template"
"account_template_32202","3.2.2.02","Despesas com Vendas",,"account_group_322","l10n_br_coa.data_account_type_sale_expenses","0","l10n_br_coa_simple_chart_template"
"account_template_32203","3.2.2.03","Outras Despesas Gerais",,"account_group_322","l10n_br_coa.data_account_type_other_general_expenses","0","l10n_br_coa_simple_chart_template"
"account_template_32301","3.2.3.01","Juros Passivos",,"account_group_323","l10n_br_coa.data_account_type_expenses_financial","0","l10n_br_coa_simple_chart_template"
"account_template_32302","3.2.3.02","Outras Despesas Financeiras",,"account_group_323","l10n_br_coa.data_account_type_expenses_financial","0","l10n_br_coa_simple_chart_template"
"account_template_32401","3.2.4.01","Despesas com Baixa de Imobilizado",,"account_group_324","l10n_br_coa.data_account_type_other_operational_expenses","0","l10n_br_coa_simple_chart_template"
"account_template_32402","3.2.4.02","Despesas com Baixa de Investimentos",,"account_group_324","l10n_br_coa.data_account_type_other_operational_expenses","0","l10n_br_coa_simple_chart_template"
"account_template_32403","3.2.4.03","Outras Despesas",,"account_group_324","l10n_br_coa.data_account_type_other_operational_expenses","0","l10n_br_coa_simple_chart_template"
"account_template_32501","3.2.5.01","Contribuição Social sobre o Lucro Líquido (CSLL)",,"account_group_325","account.data_account_type_expenses","0","l10n_br_coa_simple_chart_template"
"account_template_32502","3.2.5.02","Imposto de Renda Pessoa Jurídica (IRPJ)",,"account_group_325","account.data_account_type_expenses","0","l10n_br_coa_simple_chart_template"
